YEAR,INSTNM,CITY,STATE,COUNTRY,INST_TYPE,NT_TUT_REV,INST_EXP,AVG_FAC_SAL,TS,TS_MEN,TS_WOM,TS_MAR,TS_DPEN,TS_VET,TS_PT,ST_FI_LO,ST_FI_M1,ST_FI_M2,ST_FI_H1,ST_FI_H2,HL_ED_MS,HL_ED_HS,HL_ED_PS,CPR
2010,Fordham University,Bronx,New York,United States,Private,11890,6820,8486,6916,0.4027,0.5973,0.034515218,0.878569187,0.00533417,0.0936,0.251647317,0.107624725,0.151553185,0.143708817,0.345465955,0.034013605,0.251360544,0.71462585,0.7679
2010,Hofstra University,Hempstead,New York,United States,Private,13830,8149,8003,9535,0.4655,0.5345,0.027522936,0.875030994,0.009422266,0.1187,0.255888916,0.127696504,0.148276717,0.157203075,0.310934788,0.027866242,0.335721868,0.63641189,0.5646
2010,New York University,New York,New York,United States,Private,19540,21605,9632,18608,0.4006,0.5994,0.042844778,0.822994807,0.007212926,0.1044,0.236295441,0.129544143,0.146710906,0.145556838,0.341892672,0.024518932,0.193358163,0.782122905,0.7595
2010,Syracuse University,Syracuse,New York,United States,Private,12754,10210,7445,11626,0.4455,0.5545,0.029742564,0.88427893,0.011247188,0.0649,0.224943764,0.113471632,0.142464384,0.16295926,0.35616096,0.015267176,0.182679653,0.802053172,0.7529
2010,Appalachian State University,Boone,North Carolina,United States,Public,2914,5119,6214,11931,0.4927,0.5073,0.050062578,0.853316646,0.013266583,0.054,0.205757197,0.1359199,0.187484355,0.219274093,0.251564456,0.010704961,0.275979112,0.713315927,0.6286
2010,East Carolina University,Greenville,North Carolina,United States,Public,2688,8630,6020,15396,0.4221,0.5779,0.0754687,0.800127105,0.029710836,0.0741,0.28344455,0.138862409,0.176835081,0.187003495,0.213854465,0.014063285,0.329817512,0.656119203,0.5233
2010,Elizabeth City State University,Elizabeth City,North Carolina,United States,Public,1999,4672,5687,1866,0.3987,0.6013,0.096627165,0.779398359,0.02461258,0.0638,0.479489517,0.204193254,0.15041021,0.119416591,0.046490428,0.034623218,0.439918534,0.525458249,0.5538
2010,Gardner-Webb University,Boiling Springs,North Carolina,United States,Private,11367,7764,5153,2578,0.3495,0.6505,0.271382637,0.52733119,0.037299035,0.1726,0.254019293,0.181993569,0.237942122,0.197427653,0.128617363,0.044827586,0.408275862,0.546896552,0.4647
2010,Western Carolina University,Cullowhee,North Carolina,United States,Public,1945,5384,5914,5557,0.4837,0.5163,0.078173035,0.795783926,0.015810277,0.1249,0.287659201,0.154589372,0.178743961,0.19982433,0.179183136,0.021345708,0.350348028,0.628306265,0.4706
2010,Ashland University,Ashland,Ohio,United States,Private,6588,3543,5788,2716,0.4437,0.5563,0.183819155,0.591909578,0.01784652,0.194,0.268292683,0.139797739,0.207019631,0.198691255,0.186198691,0.013630731,0.448574969,0.5377943,0.5246
